trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
1,2026-05-11 17:11:50.068481+00:00,AAPL,hit_stop,-1.0,-100.0,9900.0,10000.0,-1.0,True
2,2026-05-11 17:11:50.069869+00:00,AAPL,hit_target,2.34,231.66,10131.66,10131.66,0.0,False
3,2026-05-11 17:11:50.072712+00:00,AAPL,expired,1.405,142.35,10274.01,10274.01,0.0,False
4,2026-05-11 17:11:50.077806+00:00,AAPL,hit_stop,-1.0,-102.74,10171.27,10274.01,-1.0,True
5,2026-05-11 17:11:50.100097+00:00,AAPL,expired,1.166,118.59,10289.85,10289.85,0.0,False
6,2026-05-11 17:11:50.100850+00:00,AAPL,expired,0.676,69.52,10359.38,10359.38,0.0,False
7,2026-05-11 17:11:50.104161+00:00,AAPL,expired,-0.011,-1.14,10358.23,10359.38,-0.01,True
8,2026-05-11 17:11:50.104994+00:00,AAPL,hit_stop,-1.0,-103.58,10254.65,10359.38,-1.01,True
9,2026-05-11 17:11:50.133763+00:00,AAPL,expired,1.083,111.04,10365.69,10365.69,0.0,False
10,2026-05-11 17:11:50.136617+00:00,AAPL,hit_target,3.54,366.95,10732.63,10732.63,0.0,False
11,2026-05-11 17:11:50.137106+00:00,AAPL,hit_target,2.53,271.54,11004.17,11004.17,0.0,False
12,2026-05-11 17:11:50.173253+00:00,AAPL,hit_target,3.0,330.13,11334.29,11334.29,0.0,False
13,2026-05-11 17:11:50.175858+00:00,AAPL,hit_stop,-1.0,-113.34,11220.95,11334.29,-1.0,True
14,2026-05-11 17:11:50.224697+00:00,AAPL,hit_stop,-1.0,-112.21,11108.74,11334.29,-1.99,True
15,2026-05-11 17:11:50.233504+00:00,AAPL,hit_target,1.25,138.86,11247.6,11334.29,-0.76,True
16,2026-05-11 17:11:50.234224+00:00,AAPL,expired,-0.189,-21.28,11226.32,11334.29,-0.95,True
17,2026-05-11 17:11:50.239032+00:00,AAPL,hit_target,1.25,140.33,11366.65,11366.65,0.0,False
18,2026-05-11 17:11:50.239513+00:00,AAPL,hit_stop,-1.0,-113.67,11252.98,11366.65,-1.0,True
