symbol,n,win_rate_%,stops_%,expired_%,avg_realized_R,avg_rr,avg_score,avg_mfe_%,avg_mae_%
AAPL,36,38.9,25.0,36.1,0.613,1.79,8.3,5.35,-2.19
NVDA,11,36.4,27.3,36.4,0.56,2.1,7.93,6.63,-4.22
AVGO,24,41.7,37.5,20.8,0.517,1.87,8.08,9.96,-4.51
UNH,29,27.6,34.5,37.9,0.428,2.0,8.2,5.15,-2.74
GOOGL,44,31.8,31.8,36.4,0.384,1.59,8.45,5.62,-3.44
JPM,51,29.4,33.3,37.3,0.371,1.87,8.24,4.14,-2.58
COST,43,23.3,37.2,39.5,0.3,2.04,8.03,3.83,-2.48
META,29,31.0,31.0,37.9,0.3,1.9,8.28,4.95,-3.43
BRK-B,47,29.8,31.9,38.3,0.233,1.82,8.44,2.99,-2.01
V,40,20.0,37.5,42.5,0.199,1.8,8.53,3.06,-2.17
AMZN,44,20.5,40.9,38.6,0.099,1.74,8.14,4.35,-3.18
MSFT,38,15.8,42.1,42.1,0.089,1.87,8.28,3.33,-2.67
MA,45,20.0,40.0,40.0,0.078,1.68,8.03,2.79,-2.07
HD,36,16.7,44.4,38.9,0.063,1.82,8.22,3.34,-2.64
TSLA,20,25.0,60.0,15.0,-0.086,1.87,8.26,7.83,-7.02
PG,32,15.6,59.4,25.0,-0.166,2.07,8.39,1.75,-2.64
